,Ticker,Company,Market Cap,Sector,Industry,Country,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility M,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Scale (billion $),Labor Cost (billion $),Operating Leverage (DOL),C-Suite Diversity,Technological Enabler,ESG Score,Earnings,Price,Target Price
443,AQUA,Evoqua Water Technologies Corp.,5.72B,Industrials,Pollution & Treatment Controls,USA,42.59,4.5,3.79,9.51,37.5,48.38,-,0.00%,-56.00%,22.87%,32.00%,25.99%,5.20%,-9.40%,13.70%,1.20%,-10.71%,-,-1.34%,2.05,2.70%,9.10%,3.70%,1.7,1.3,1.19,1.24,31.60%,4.10%,3.40%,10.99%,-1.04%,25.29%,71.97%,1.30%,3.17%,0.67%,4.72%,11.45%,-8.55%,69.97%,51.3,5.72,1.25,1.3,25,Industry 4.0,47.78,Feb 01/b,45.16,48.3
450,ARC,"ARC Document Solutions, Inc.",169.80M,Industrials,Specialty Business Services,USA,12.97,1.82,0.62,1.07,3.04,5.8,5.14%,32.30%,48.70%,0.00%,17.10%,10.00%,-7.70%,105.80%,7.60%,7.40%,13.45%,52.00%,3.09%,1.76,2.80%,6.10%,4.70%,1.5,1.4,0.42,0.51,32.20%,5.50%,3.40%,6.87%,7.46%,37.94%,75.23%,11.14%,4.51%,3.96%,11.50%,29.84%,-6.94%,99.49%,57.54,0.17,0.04,1.5,23,Industry 3.0,56.14,-,3.89,5.5
451,ARCB,ArcBest Corporation,2.03B,Industrials,Trucking,USA,7.35,0.29,0.51,2.09,16.25,7.9,0.42%,3.80%,196.40%,-0.11%,62.40%,33.00%,8.10%,177.20%,45.20%,1.40%,-6.81%,93.70%,-2.32%,3.45,11.10%,23.50%,18.80%,1.1,1.1,0.19,0.24,77.80%,7.10%,5.40%,-12.20%,-31.76%,-9.05%,6.57%,-35.84%,5.15%,-13.33%,-14.98%,-12.02%,-40.39%,40.96%,35.48,2.03,0.61,1.4,31,Industry 3.0,65.64,Feb 01/b,74.51,129
484,ARLO,"Arlo Technologies, Inc.",788.16M,Industrials,Security & Protection Services,USA,173.58,-,1.81,6.87,4.49,-,-,-,47.70%,105.30%,-29.10%,-,18.70%,58.00%,24.50%,3.90%,-1.71%,70.90%,4.59%,3.28,-16.50%,-47.10%,-54.00%,1.4,1.3,0,0,24.80%,-13.80%,-12.90%,-14.58%,-11.45%,46.03%,40.24%,-12.30%,5.18%,-4.17%,-1.84%,15.36%,-24.60%,62.20%,46.19,0.79,0.2,1.5,21,Industry 3.0,54.6,Mar 01/a,8.89,13.2
489,ARNC,Arconic Corporation,2.66B,Industrials,Metal Fabrication,USA,5.89,-,0.36,1.81,7.95,-,-,-,-264.20%,47.35%,-35.40%,12.66%,2.40%,39.80%,46.20%,1.10%,0.34%,90.90%,-8.85%,3.8,-6.10%,-25.60%,-7.30%,1.5,0.7,1.03,0,12.40%,-3.90%,-5.30%,-3.80%,-23.23%,-17.66%,-1.03%,-21.02%,5.19%,3.14%,-9.41%,-18.83%,-33.07%,14.74%,46.63,2.66,0.64,3.9,32,Industry 4.0,53.09,Feb 18/b,25.76,41.5
502,ARTW,"Art's-Way Manufacturing Co., Inc.",20.79M,Industrials,Farm & Heavy Construction Machinery,USA,-,-,0.83,1.99,-,-,-,0.00%,109.80%,-,19.70%,-,3.00%,190.30%,32.70%,8.20%,0.00%,5.50%,7.70%,0.21,1.00%,2.10%,2.70%,1.6,0.4,0.27,0.67,26.40%,2.20%,0.90%,3.82%,28.25%,26.46%,39.26%,28.25%,15.16%,-16.81%,3.74%,24.95%,-38.57%,67.14%,44.31,0.02,0.01,2.5,15,Industry 3.0,60.33,-,4.73,-
517,ASGN,ASGN Incorporated,5.95B,Industrials,Staffing & Employment Services,USA,17.14,1.98,1.48,3.24,11.24,37.44,-,0.00%,30.00%,11.41%,19.10%,13.60%,10.40%,38.00%,17.00%,1.20%,-15.98%,97.30%,-3.29%,3.65,11.80%,23.20%,9.30%,2.9,2.9,0.55,0.55,28.50%,8.80%,10.20%,7.70%,-5.96%,0.76%,15.95%,-5.45%,2.57%,2.61%,3.69%,2.50%,-12.18%,26.44%,54.53,5.95,1.43,1.6,27,Industry 3.0,52.72,Apr 27/a,115.83,129.67
522,ASLE,AerSale Corporation,815.00M,Industrials,Airports & Air Services,USA,23.97,-,2.39,1.82,6.26,10.5,-,0.00%,-90.00%,0.00%,-,-,-,-97.70%,-44.10%,0.40%,0.00%,63.70%,2.39%,2.84,8.30%,9.40%,11.00%,4,4,0,0,35.10%,16.60%,10.60%,5.03%,-8.22%,-5.45%,34.93%,-8.12%,4.60%,0.55%,4.05%,2.10%,-34.46%,50.90%,50.91,0.82,0.2,3.9,27,Industry 3.0,53.25,Mar 14/a,15.86,19
530,ASPN,"Aspen Aerogels, Inc.",1.12B,Industrials,Building Products & Equipment,USA,-,-,9.25,8.72,14.68,-,-,-,-47.40%,4.00%,-18.60%,-,0.70%,-118.80%,37.00%,4.80%,112.59%,87.30%,3.72%,3.38,-22.40%,-30.60%,-28.70%,3.1,2.7,0,0,8.20%,-30.20%,-30.50%,22.23%,-32.43%,-26.83%,73.42%,-31.21%,6.70%,0.69%,8.88%,-20.05%,-50.38%,100.52%,50.27,1.12,0.25,3.8,31,Industry 3.0,49.12,Feb 17/a,32.74,56
533,ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",6.55B,Industrials,Airports & Air Services,Mexico,16.08,-,8,3.73,11.77,15.66,1.80%,-,-63.90%,9.83%,-7.50%,-0.10%,7.00%,1606.00%,98.90%,51.50%,0.00%,25.00%,-2.53%,1.92,7.20%,13.10%,5.40%,2.2,2.2,0.36,0.39,96.80%,42.90%,27.50%,9.30%,7.83%,18.27%,23.49%,7.61%,3.07%,4.83%,4.17%,12.08%,-5.97%,33.91%,55.49,6.55,2.0,1.5,29,Industry 4.0,67.03,-,217.03,216.94
536,ASTC,Astrotech Corporation,36.50M,Industrials,Aerospace & Defense,USA,-,-,45.63,0.59,0.64,-,-,-,73.60%,-,36.00%,-,-34.00%,55.10%,500.00%,0.70%,0.00%,9.20%,-35.98%,0.41,-14.60%,-15.60%,-11.60%,24.6,24,0.01,0.02,17.10%,-,-,2.84%,-3.51%,-28.73%,-66.98%,5.85%,5.36%,-1.35%,3.63%,-20.63%,-76.17%,18.31%,49.78,0.04,0.01,1.0,15,Industry 3.0,48.16,-,0.71,-
537,ASTE,"Astec Industries, Inc.",997.56M,Industrials,Farm & Heavy Construction Machinery,USA,14.15,5.6,0.91,1.51,6.98,-,1.11%,71.40%,-52.60%,68.79%,-20.10%,10.00%,-0.90%,-258.80%,12.10%,1.60%,-0.30%,98.50%,3.32%,2.32,2.00%,2.70%,3.60%,2.8,1.5,0,0,22.90%,2.00%,1.60%,-8.38%,-37.80%,-20.32%,-43.78%,-37.33%,4.28%,-3.94%,-17.49%,-28.63%,-47.30%,1.74%,35.01,1.0,0.18,2.6,28,Industry 3.0,40.38,Feb 28/b,42.16,65.33
539,ASTR,"Astra Space, Inc.",983.24M,Industrials,Aerospace & Defense,USA,-,-,-,2.51,2.6,-,-,-,-,26.40%,-,-,-,-83.30%,-,2.20%,0.00%,41.20%,7.90%,2.68,-,-,-,11.3,11.1,0,0,-,-,-,32.40%,-37.04%,-45.37%,-62.26%,-38.67%,10.59%,4.79%,5.19%,-47.58%,-75.07%,47.21%,53.23,0.98,0.21,3.7,28,Industry 4.0,47.29,Mar 31/a,4.22,5.5
550,ATCX,"Atlas Technical Consultants, Inc.",460.16M,Industrials,Engineering & Construction,USA,22.74,-,0.85,-,43.01,18.33,-,-,-4.30%,45.24%,-,-,-,-131.90%,15.50%,2.50%,7.02%,23.70%,-1.46%,2.94,-5.50%,20.30%,7.50%,1.9,1.9,-,-,47.30%,5.10%,-4.20%,16.92%,43.90%,29.67%,25.73%,52.61%,4.95%,4.52%,13.92%,25.39%,-17.53%,69.33%,62.18,0.46,0.13,1.6,32,Industry 4.0,60.06,Mar 15/a,12.7,16.33
561,ATI,Allegheny Technologies Incorporated,3.46B,Industrials,Metal Fabrication,USA,18.62,-,1.23,5.18,5.03,-,-,-,97.60%,57.47%,45.00%,-4.50%,-2.20%,97.40%,16.30%,1.10%,-0.73%,-,-1.37%,6.75,-0.90%,-7.00%,4.10%,2.7,1.5,2.5,2.69,11.90%,4.70%,-1.40%,6.91%,71.07%,64.99%,24.66%,74.83%,4.38%,2.12%,11.46%,40.27%,-3.87%,97.47%,57.63,3.46,0.86,1.5,24,Industry 4.0,54.65,Feb 02/b,27.35,30.75
564,ATKR,Atkore Inc.,4.36B,Industrials,Specialty Industrial Machinery,USA,10.38,-,1.34,4.74,8.73,8.41,-,0.00%,293.10%,-30.43%,67.10%,-12.43%,14.00%,146.30%,64.50%,0.80%,-7.72%,98.10%,-0.99%,2.99,33.80%,90.90%,38.10%,2.9,2.2,0.81,0,39.60%,29.50%,21.30%,-4.08%,-12.07%,9.31%,33.80%,-12.66%,4.08%,-7.55%,-8.19%,-0.45%,-21.04%,43.95%,38.59,4.36,1.36,2.9,26,Industry 3.0,68.37,Jan 31/b,94.72,128
580,ATRO,Astronics Corporation,394.19M,Industrials,Aerospace & Defense,USA,12.9,-,0.89,1.53,13.23,-,-,-,78.10%,592.86%,-20.90%,-,-6.80%,107.90%,1.10%,1.40%,0.00%,80.30%,4.04%,2.74,-4.20%,-10.00%,-4.00%,2.9,1.5,0.64,0.64,17.10%,-4.00%,-5.70%,-3.02%,4.08%,-13.00%,-32.12%,4.25%,4.28%,-9.00%,-8.48%,-13.18%,-42.83%,20.37%,35.09,0.39,0.09,2.0,30,Industry 3.0,52.39,Mar 02/b,11.97,16.93
582,ATSG,"Air Transport Services Group, Inc.",2.36B,Industrials,Integrated Freight & Logistics,USA,14.22,20.45,1.36,1.73,33.97,29.92,-,0.00%,618.00%,8.72%,55.10%,0.50%,17.70%,768.40%,20.80%,2.30%,1.69%,99.30%,-0.14%,3.41,7.30%,20.50%,9.20%,1.1,1,0.98,0.98,55.10%,18.20%,13.30%,-0.48%,5.11%,19.75%,1.11%,5.65%,3.28%,-5.72%,2.24%,13.21%,-11.87%,42.11%,42.18,2.36,0.7,1.1,31,Industry 4.0,65.16,Feb 24/a,30.44,35.67
585,ATTO,Atento S.A.,414.99M,Industrials,Specialty Business Services,Luxembourg,14.31,-,0.28,12.63,2.83,7.2,-,-,40.90%,258.10%,-24.10%,12.00%,-6.20%,11.10%,4.50%,1.49%,0.00%,78.60%,7.91%,0.26,-4.80%,-85.80%,4.20%,1.4,1.4,19.17,22.3,-,5.00%,-3.70%,14.45%,-0.92%,0.47%,31.15%,9.83%,5.37%,-3.15%,4.51%,5.99%,-15.22%,44.69%,46.98,0.41,0.11,3.1,18,Industry 3.0,56.63,Mar 30/a,27.13,27.67
624,AVY,Avery Dennison Corporation,14.29B,Industrials,Business Equipment & Supplies,USA,16.34,2.54,1.7,7.49,87.82,25.01,1.56%,29.80%,33.60%,10.96%,20.10%,7.77%,6.70%,-3.60%,9.70%,0.50%,-1.85%,91.60%,0.42%,1.59,10.30%,42.20%,14.70%,1.1,0.7,1.45,1.61,27.50%,11.80%,8.80%,4.16%,-17.19%,-16.05%,-9.22%,-19.39%,2.91%,2.85%,-2.33%,-14.79%,-23.84%,11.55%,51.19,14.29,3.0,4.0,15,Industry 4.0,45.95,Feb 02/b,174.59,228
629,AWI,"Armstrong World Industries, Inc.",4.23B,Industrials,Building Products & Equipment,USA,15.61,-,3.83,8.4,43.16,64.15,1.00%,22.20%,322.20%,15.41%,17.10%,-,5.70%,27.30%,18.30%,0.70%,-9.16%,-,-3.80%,1.62,10.80%,36.70%,17.30%,1.5,1.1,1.2,1.25,36.70%,23.50%,16.70%,3.47%,-20.12%,-4.22%,-3.54%,-20.46%,2.47%,1.27%,-0.84%,-10.57%,-21.83%,7.71%,50.63,4.23,1.12,2.4,17,Industry 3.0,58.29,Feb 22/b,92.35,108.25
635,AWX,Avalon Holdings Corporation,12.73M,Industrials,Waste Management,USA,-,-,0.18,0.32,3.86,-,-,0.00%,-,-,96.90%,-,2.80%,-197.40%,20.50%,29.77%,0.00%,11.70%,-7.07%,1.24,2.50%,5.10%,4.00%,0.9,0.8,0.51,0.54,19.30%,3.60%,2.80%,-15.40%,-10.25%,-20.20%,-28.16%,-10.25%,4.97%,-3.12%,-2.12%,-15.90%,-45.63%,10.37%,46.39,0.01,0.0,3.8,26,Industry 4.0,46.49,-,3.3,-
642,AXON,"Axon Enterprise, Inc.",9.82B,Industrials,Aerospace & Defense,USA,59.91,-,11.37,9.27,22.16,131.61,-,-,14.90%,19.36%,-36.90%,18.80%,26.30%,-148.00%,-3.80%,5.20%,-22.10%,74.20%,1.67%,2.3,-3.80%,-5.60%,-8.30%,2.7,2.4,0,0,62.70%,-19.50%,-7.00%,1.35%,-8.42%,-15.71%,-3.85%,-10.83%,4.09%,5.45%,3.30%,-13.88%,-33.03%,19.57%,55.87,9.82,1.88,1.5,26,Industry 3.0,41.93,Feb 24/a,139.96,197.11
651,AYI,"Acuity Brands, Inc.",6.42B,Industrials,Electrical Equipment & Parts,USA,14.61,1.56,1.79,3.13,12.73,20.84,0.28%,5.50%,33.50%,8.15%,4.80%,12.78%,1.00%,56.50%,16.90%,0.50%,-0.55%,96.90%,-6.18%,4.01,9.50%,16.50%,13.30%,2.3,1.7,0.24,0,42.50%,12.70%,9.30%,0.35%,-13.15%,6.38%,9.39%,-12.59%,2.85%,-7.74%,-6.77%,-8.56%,-22.14%,9.59%,35.5,6.42,1.6,1.8,16,Industry 3.0,54.6,Apr 05/b,174.88,229.88
656,AZ,A2Z Smart Technologies Corp.,212.12M,Industrials,Aerospace & Defense,Canada,-,-,68.43,10.8,-,-,-,-,-,-,-,-,-,-,66.70%,37.99%,0.00%,-,-,-,-,-,-,4.6,4.1,0.06,0.08,51.30%,-,-,14.77%,-41.24%,-9.45%,-18.02%,-41.18%,5.98%,1.78%,1.29%,-14.43%,-50.24%,36.67%,48.9,0.21,0.05,3.9,31,Industry 4.0,48.37,-,6.15,-
657,AZEK,The AZEK Company Inc.,3.99B,Industrials,Building Products & Equipment,USA,18.4,1.76,3.26,2.74,60.42,-,-,0.00%,175.20%,18.74%,-,23.00%,-,52.20%,22.30%,1.80%,-1.65%,98.30%,0.41%,2.66,4.70%,7.10%,5.80%,2.7,0.9,0.36,0.36,33.10%,12.10%,8.10%,-3.77%,-43.51%,-27.76%,-41.98%,-44.29%,5.77%,-5.66%,-13.91%,-33.29%,-52.07%,4.79%,41.35,3.99,0.89,2.6,17,Industry 3.0,49.07,Feb 03/b,24.6,45.07
663,AZUL,Azul S.A.,1.71B,Industrials,Airlines,Brazil,-,-,0.81,-,2.63,-,-,-,62.70%,79.00%,-,-,8.40%,-155.50%,115.00%,-,-,38.50%,0.10%,4.27,-27.70%,27.70%,-,0.5,0.5,-,-,51.20%,0.50%,-47.80%,24.42%,24.33%,-21.18%,-23.60%,22.35%,6.22%,13.37%,5.52%,-12.15%,-47.50%,48.58%,56.75,1.71,0.5,3.4,32,Industry 3.0,63.76,Feb 24/b,15.46,19.13
665,AZZ,AZZ Inc.,1.18B,Industrials,Electrical Equipment & Parts,Canada,13.61,1.59,1.35,1.88,57.96,31.96,1.38%,21.60%,-17.10%,13.70%,-12.20%,10.00%,-1.20%,11.80%,2.30%,0.20%,0.00%,92.00%,0.82%,3.08,7.70%,12.30%,6.30%,2.9,2,0.3,0,24.70%,12.10%,9.00%,-1.44%,-11.46%,-9.25%,-3.06%,-10.71%,2.30%,-1.07%,-0.17%,-6.71%,-17.02%,9.26%,46.4,1.18,0.25,2.0,15,Industry 4.0,47.29,Jan 10/b,48.62,60.5
666,B,Barnes Group Inc.,2.04B,Industrials,Specialty Industrial Machinery,USA,14.23,2.05,1.62,1.43,19.79,20.1,1.59%,32.60%,57.60%,22.08%,-4.70%,10.00%,0.50%,58.70%,7.60%,2.40%,-2.14%,87.60%,-0.04%,2.99,3.80%,7.20%,6.00%,2.2,1.4,0.42,0.42,36.10%,11.90%,7.90%,-8.88%,-15.16%,-7.70%,-20.17%,-13.84%,2.58%,-4.70%,-10.24%,-13.79%,-30.79%,0.28%,31.28,2.04,0.46,3.5,27,Industry 4.0,49.02,Apr 29/b,39.44,55.2
667,BA,The Boeing Company,113.31B,Industrials,Aerospace & Defense,USA,26.78,-,1.82,-,6.98,-,-,-,65.80%,129.99%,-23.80%,20.17%,-7.80%,51.90%,-6.40%,0.10%,0.76%,54.50%,2.51%,0.89,-2.90%,26.20%,-5.00%,1.3,0.4,-,-,4.80%,-4.70%,-6.70%,5.72%,-8.02%,-14.57%,-25.08%,-5.04%,3.56%,-1.09%,-6.10%,-13.43%,-29.27%,9.95%,43.29,113.31,28.57,3.9,15,Industry 4.0,55.29,Jan 26/b,184.25,254.5
672,BAH,Booz Allen Hamilton Holding Corporation,11.57B,Industrials,Consulting Services,USA,19.3,2.09,1.43,11,18,55.99,1.68%,42.70%,28.20%,8.86%,17.60%,10.05%,7.80%,-7.70%,6.60%,0.10%,-24.28%,93.10%,0.45%,1.23,7.90%,44.10%,20.40%,1.7,1.7,2.57,2.63,53.90%,8.40%,5.70%,2.24%,0.07%,8.63%,6.98%,4.09%,2.70%,3.26%,9.46%,6.26%,-2.38%,27.48%,60.64,11.57,2.83,1.6,20,Industry 4.0,53.63,Jan 28/b,88.83,91.9
702,BBCP,"Concrete Pumping Holdings, Inc.",380.18M,Industrials,Engineering & Construction,USA,11.89,-,1.15,1.32,40.88,7.82,-,-,73.70%,43.31%,-,-,-,200.60%,10.90%,5.70%,0.00%,36.10%,3.36%,8.03,-3.00%,-8.90%,3.10%,1.4,1.3,1.41,1.41,42.90%,4.60%,-7.00%,-13.24%,-24.62%,-22.92%,-13.47%,-20.85%,3.74%,-7.30%,-12.10%,-20.53%,-32.73%,1.32%,30.07,0.38,0.09,1.1,22,Industry 4.0,49.87,Mar 10/a,6.53,11
720,BBSI,"Barrett Business Services, Inc.",561.89M,Industrials,Staffing & Employment Services,USA,12.64,1.02,0.59,2.74,3.38,-,1.57%,23.70%,13.80%,12.61%,14.40%,15.00%,2.60%,51.00%,10.00%,1.50%,0.33%,84.20%,0.37%,1.86,4.70%,19.00%,14.80%,1.3,1.3,0,0.02,21.40%,4.60%,4.00%,3.83%,10.17%,-3.04%,6.29%,10.40%,2.37%,-0.93%,10.27%,3.26%,-13.30%,30.32%,55.8,0.56,0.14,0.7,16,Industry 4.0,54.86,Mar 02/a,75.28,94.33
721,BBU,Brookfield Business Partners L.P.,2.32B,Industrials,Conglomerates,Bermuda,-,-,0.05,2.01,-,-,0.84%,-,-,-,-,-,-,-,34.10%,1.94%,0.00%,78.25%,-,0.49,-,-,-,-,-,-,-,-,-,-,10.41%,1.05%,1.81%,14.63%,0.99%,4.62%,4.42%,4.35%,1.23%,-12.06%,18.73%,53.95,2.32,0.55,2.0,23,Industry 4.0,52.29,Feb 04/b,29.34,-
743,BCO,The Brink's Company,3.22B,Industrials,Security & Protection Services,USA,10.32,2.27,0.77,26.64,4.53,11.8,1.18%,35.00%,522.30%,15.22%,23.50%,14.50%,6.80%,97.30%,7.50%,1.00%,-0.76%,-,-1.12%,7.45,1.90%,81.20%,7.60%,1.4,1.4,23.1,24.12,23.00%,8.40%,2.50%,0.28%,3.85%,5.97%,-16.54%,3.61%,2.55%,2.25%,-0.58%,-2.77%,-18.00%,15.85%,52.74,3.22,0.82,3.8,19,Industry 3.0,55.99,Feb 23/b,67.75,97
757,BDC,Belden Inc.,2.47B,Industrials,Electrical Equipment & Parts,USA,9.82,3.94,1.03,2.55,3.83,14.35,0.37%,14.00%,12.80%,7.70%,-12.40%,10.16%,0.40%,-428.00%,28.20%,0.70%,-1.24%,-,-1.35%,4.24,1.90%,7.10%,3.90%,2,1.6,1.53,1.53,35.90%,4.90%,2.70%,-3.75%,-16.18%,-7.64%,20.14%,-17.24%,3.34%,-6.63%,-6.07%,-8.49%,-23.41%,27.46%,37.24,2.47,0.5,3.0,21,Industry 3.0,43.97,Feb 09/b,52.74,76.83
768,BE,Bloom Energy Corporation,4.57B,Industrials,Electrical Equipment & Parts,USA,117.01,-,4.7,-,11.54,-,-,-,16.50%,101.90%,18.50%,-,36.10%,-16.00%,37.30%,0.80%,-18.44%,76.90%,10.01%,3.55,-10.80%,616.20%,-12.00%,2.4,1.9,-,-,20.30%,-11.80%,-16.90%,24.22%,18.38%,55.00%,1.98%,19.52%,7.11%,7.30%,27.45%,14.38%,-31.21%,102.87%,61.01,4.57,1.35,2.7,15,Industry 3.0,64.78,Feb 10/a,25.46,27.53
771,BECN,"Beacon Roofing Supply, Inc.",4.12B,Industrials,Building Products & Equipment,USA,10.26,2.36,0.62,2.35,15.85,358.38,-,-,-73.00%,5.80%,-14.20%,8.83%,-16.70%,55.60%,6.90%,0.30%,104.12%,-,0.79%,10.05,-1.20%,-4.30%,2.50%,1.8,1.1,0.94,0.95,26.50%,6.00%,-1.00%,-0.56%,2.46%,22.61%,7.63%,1.85%,3.23%,-4.54%,-0.01%,6.32%,-9.30%,23.81%,42.16,4.12,0.81,1.7,31,Industry 4.0,43.12,Feb 03/a,57.72,64.92
784,BEST,BEST Inc.,162.64M,Industrials,Trucking,China,-,-,0.09,0.79,0.28,-,-,0.00%,-20.80%,39.00%,26.90%,40.00%,5.30%,-185.70%,-20.30%,20.41%,0.00%,20.70%,-10.37%,5.5,1.60%,25.80%,-24.60%,1.2,1.2,0.87,1.87,-1.70%,-12.80%,2.30%,3.86%,-29.18%,-58.75%,-62.92%,-22.49%,14.88%,-4.91%,-17.31%,-46.20%,-74.57%,42.77%,44.54,0.16,0.04,2.2,22,Industry 4.0,55.94,Mar 08/a,0.63,0.9
810,BGRY,"Berkshire Grey, Inc.",662.62M,Industrials,Specialty Industrial Machinery,USA,-,-,21.44,4.14,3.26,-,-,-,-16.40%,16.70%,-,58.40%,-,-186.50%,754.50%,6.50%,0.00%,81.60%,1.93%,2.75,-,-,-,4.2,4.1,0,0,-9.50%,-,-,0.67%,-45.78%,-50.25%,-70.59%,-45.09%,8.77%,-18.37%,-15.35%,-53.75%,-73.21%,0.18%,37.83,0.66,0.14,1.2,26,Industry 4.0,46.71,Mar 29/b,2.83,8.67
812,BGSF,"BGSF, Inc.",135.55M,Industrials,Staffing & Employment Services,USA,10.69,0.66,0.57,1.8,1355.5,-,4.53%,25.00%,599.70%,15.35%,4.10%,20.00%,-1.20%,179.00%,-93.00%,5.00%,11.00%,46.50%,-0.81%,5.54,9.90%,20.00%,10.20%,2.1,2.1,0.47,0.52,33.90%,6.10%,5.90%,-5.02%,-7.08%,5.50%,-7.73%,-7.66%,3.04%,-1.81%,-5.06%,-2.03%,-16.61%,13.97%,42.82,0.14,0.04,0.7,18,Industry 4.0,61.89,Mar 09/a,13.05,19.75
893,BKYI,"BIO-key International, Inc.",18.24M,Industrials,Security & Protection Services,USA,228,-,3.58,1.01,1.9,-,-,-,74.60%,102.00%,6.40%,-,-11.60%,74.30%,44.40%,10.00%,0.57%,7.40%,-0.17%,0.74,-31.50%,-35.50%,-,5.6,4,0,0,67.30%,-87.00%,-,7.04%,3.17%,-34.48%,-35.23%,3.17%,9.81%,-2.79%,3.80%,-17.16%,-45.37%,23.06%,49.27,0.02,0.0,1.0,27,Industry 4.0,59.31,Mar 29/b,2.34,5
900,BLD,TopBuild Corp.,5.97B,Industrials,Engineering & Construction,USA,11.66,0.83,1.71,3.66,42.72,17.18,-,0.00%,31.80%,11.80%,38.50%,22.63%,14.90%,11.00%,47.40%,0.30%,-11.15%,99.80%,2.24%,4.21,9.80%,21.40%,11.20%,1.6,1.1,0.89,0.92,27.90%,13.30%,9.30%,-12.82%,-32.11%,-12.38%,-15.84%,-33.81%,4.75%,-13.03%,-17.21%,-21.54%,-37.03%,-0.35%,33.79,5.97,1.53,0.6,25,Industry 4.0,56.04,Feb 22/b,178.88,263.57
901,BLDE,"Blade Air Mobility, Inc.",615.47M,Industrials,Airports & Air Services,USA,-,-,18.48,2.1,2.02,-,-,-,101.10%,-35.80%,-,-,-,-,144.20%,10.40%,0.00%,65.30%,19.24%,7.03,-17.80%,-21.20%,-3.60%,33,33,0,0,22.70%,-,-,30.76%,-1.35%,-13.30%,-17.91%,-0.34%,5.56%,13.37%,23.04%,1.76%,-27.52%,62.73%,66.7,0.62,0.14,3.2,18,Industry 3.0,51.48,Feb 10/a,8.69,13.8
902,BLDP,Ballard Power Systems Inc.,3.72B,Industrials,Specialty Industrial Machinery,Canada,-,-,35.64,2.78,3.3,-,-,-,-94.60%,24.00%,-24.60%,0.03%,4.20%,-174.80%,28.30%,0.50%,0.00%,16.40%,-0.79%,5.19,-7.80%,-8.30%,-6.60%,14.8,14.2,0.01,0.01,13.40%,-84.60%,-,27.31%,-1.82%,-6.49%,-49.26%,-1.27%,7.12%,4.39%,14.64%,-14.11%,-52.83%,45.25%,56.16,3.72,0.88,3.9,23,Industry 4.0,51.91,Mar 14/b,12.07,-
903,BLDR,"Builders FirstSource, Inc.",11.54B,Industrials,Building Products & Equipment,USA,7.36,0.41,0.58,2.56,270.82,7.61,-,0.00%,218.90%,-5.31%,46.20%,18.80%,25.60%,96.00%,83.10%,1.30%,-2.86%,93.71%,-14.02%,2.71,16.60%,33.20%,24.10%,1.9,1.1,0.61,0.61,29.40%,12.00%,8.70%,-12.40%,-22.24%,23.47%,35.11%,-24.26%,4.89%,-10.59%,-9.26%,3.01%,-25.88%,63.34%,38.39,11.54,3.49,1.5,25,Industry 3.0,66.33,Mar 01/b,64.1,100.36
938,BMI,"Badger Meter, Inc.",2.91B,Industrials,Electrical Equipment & Parts,USA,41.47,3.31,5.77,7.41,33.41,49.71,0.78%,36.40%,22.90%,10.29%,13.30%,14.90%,5.10%,31.40%,20.80%,0.30%,-2.61%,97.60%,4.27%,9.15,12.00%,15.70%,15.10%,3.2,2,0,0,40.70%,15.60%,12.10%,4.71%,-3.96%,0.17%,4.06%,-4.07%,2.29%,2.66%,2.22%,-0.95%,-10.38%,17.71%,54.78,2.91,0.7,1.8,22,Industry 3.0,52.55,Apr 19/b,100.7,103.6
985,BRC,Brady Corporation,2.35B,Industrials,Security & Protection Services,USA,13.09,2.57,1.89,2.45,15.93,42.08,1.97%,34.70%,17.30%,14.71%,9.50%,7.00%,0.40%,9.80%,19.70%,0.70%,2.86%,87.40%,-0.38%,2.94,9.80%,13.90%,13.10%,2.2,1.5,0.09,0.09,48.40%,14.10%,10.70%,-0.95%,-15.80%,-9.94%,-18.03%,-15.16%,2.51%,0.95%,-3.40%,-10.98%,-25.79%,9.92%,46.76,2.35,0.54,2.9,22,Industry 4.0,50.41,Feb 17/b,45.83,62.75
989,BRDS,"Bird Global, Inc.",693.68M,Industrials,Rental & Leasing Services,USA,-,-,3.78,2.07,5.39,-,-,-,-2.40%,69.60%,-,-,-,-,62.80%,16.20%,0.00%,64.60%,233.04%,9.37,-,-,-59.50%,1.7,1.5,0,0.15,11.30%,-,-93.50%,-22.26%,-59.87%,-75.08%,-75.18%,-59.81%,10.35%,-15.98%,-22.29%,-66.41%,-78.13%,4.68%,35.85,0.69,0.17,1.9,27,Industry 3.0,53.09,Mar 15/a,2.46,8.25
